0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	11
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
5	0	12	-1	12	90	12	12	12	-1	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	0	5
5	12	12	12	-5	12	90	-5	12	12	-5	-5	12	12	12	12	-5	12	12	12	12	12	12	12	12	12	12	12	12	5
1	6	6	6	6	6	6	8	6	6	6	6	8	6	6	6	6	8	8	6	6	6	6	6	6	6	6	6	6	10
5	12	-5	12	12	12	12	5	12	12	12	12	5	12	12	12	12	5	5	12	12	12	12	12	12	12	12	12	12	5
5	12	12	12	12	12	-5	5	12	-5	-5	-5	5	12	12	-5	12	5	5	70	12	-5	12	12	-5	12	-5	12	12	5
5	12	12	-5	90	90	90	5	12	60	12	12	5	12	-1	12	-5	5	5	12	-5	12	12	12	12	-1	12	12	12	5
5	12	12	12	12	12	-5	5	12	12	60	12	5	12	12	12	12	5	5	12	12	-5	80	12	12	12	12	-5	12	5
5	12	-5	12	12	70	12	2	6	6	6	6	9	12	12	12	12	5	5	12	70	12	4	6	6	11	12	12	12	5
5	12	-1	12	-5	12	-5	12	12	12	12	12	12	12	12	-5	12	5	5	12	12	-5	5	12	12	5	12	-5	12	5
5	-5	12	-5	12	-5	12	12	12	12	-5	12	12	-1	12	12	12	5	5	12	-5	12	5	12	12	5	12	12	12	5
5	12	12	12	12	12	-5	12	-5	12	12	12	12	12	12	-5	12	5	5	12	12	-5	5	12	12	5	12	12	12	5
5	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	5	5	12	12	12	5	12	12	5	12	12	12	5
1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	7	6	6	7	6	6	6	10
1	6	6	6	6	6	6	8	6	6	6	6	6	8	6	6	6	6	6	8	6	6	6	6	8	8	6	6	6	10
5	12	12	12	60	12	12	5	12	12	12	12	12	5	12	12	12	12	12	5	12	12	-1	80	5	5	12	-5	12	5
5	12	12	12	12	12	70	5	12	12	-5	12	12	5	12	-1	12	12	-1	5	12	-5	-5	12	5	5	12	12	12	5
5	60	12	-5	12	12	12	5	-5	12	12	12	-5	5	60	-5	12	12	12	5	12	12	-5	12	5	5	-5	12	-5	5
5	12	12	12	60	12	12	5	12	12	-5	12	12	5	12	12	12	-5	12	5	12	-5	12	90	5	5	12	-5	12	5
5	12	12	12	12	12	12	5	60	12	12	12	12	5	12	12	12	12	12	5	12	12	12	12	5	5	12	12	-5	5
1	6	6	6	6	6	6	1	6	6	6	6	6	1	6	6	6	6	6	1	6	6	6	6	1	1	6	6	6	10
5	12	12	12	12	-5	12	5	60	-5	12	12	12	5	12	12	12	12	12	5	12	12	12	12	5	5	12	12	12	5
5	90	90	12	12	12	12	5	60	12	12	12	12	5	-5	12	12	12	-5	5	12	-5	12	12	5	5	12	12	12	5
5	12	-5	12	12	-5	12	5	60	60	12	12	12	5	12	12	12	-5	12	5	12	12	90	90	5	5	12	12	12	5
5	0	12	12	-1	12	12	5	60	60	-5	90	12	5	12	-5	12	12	-5	5	12	12	12	90	5	5	12	12	0	5
5	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	5	5	0	0	0	5
2	6	6	6	6	6	6	7	6	6	6	6	6	7	6	6	6	6	6	7	6	6	6	6	7	7	6	6	6	9
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 
